#, session_id, temperature, start_freq, increment, num_increments, num_avg, v_range, pga_gain, gain_factor
#nh4no3_5,20.0,1000,200,450,4,1,1,1.0152170736012073e-08
freq, real, imaginary, concentration
,freq,0.65,1.25,2.5,5.0,7.5,10.0,15.0,30.0
172,35400,90.191,89.744,88.506,87.852,86.202,83.782,82.843,78.925
173,35600,90.188,89.739,88.504,87.851,86.202,83.778,82.842,78.921
174,35800,90.186,89.739,88.499,87.848,86.198,83.780,82.837,78.910
175,36000,90.178,89.733,88.498,87.844,86.194,83.778,82.836,78.918
176,36200,90.177,89.733,88.497,87.842,86.193,83.779,82.834,78.914
177,36400,90.173,89.732,88.496,87.841,86.192,83.780,82.835,78.914
178,36600,90.172,89.728,88.494,87.842,86.192,83.781,82.835,78.910
179,36800,90.174,89.726,88.493,87.843,86.193,83.783,82.837,78.915
180,37000,90.170,89.726,88.492,87.841,86.188,83.785,82.835,78.914
181,37200,90.174,89.721,88.489,87.839,86.184,83.784,82.834,78.908
182,37400,90.173,89.720,88.488,87.838,86.182,83.785,82.833,78.908
183,37600,90.171,89.718,88.486,87.834,86.176,83.784,82.831,78.904
184,37800,90.162,89.712,88.483,87.832,86.175,83.784,82.829,78.903
185,38000,90.158,89.709,88.481,87.828,86.176,83.784,82.826,78.900
186,38200,90.156,89.709,88.479,87.829,86.181,83.785,82.828,78.901
187,38400,90.154,89.708,88.480,87.829,86.183,83.786,82.828,78.905
188,38600,90.151,89.708,88.482,87.832,86.186,83.790,82.830,78.900
189,38800,90.152,89.705,88.478,87.827,86.185,83.788,82.831,78.903
190,39000,90.153,89.700,88.475,87.825,86.183,83.791,82.830,78.902
191,39200,90.153,89.699,88.473,87.822,86.183,83.792,82.830,78.905
192,39400,90.157,89.699,88.475,87.823,86.178,83.790,82.825,78.900
193,39600,90.162,89.695,88.471,87.819,86.182,83.794,82.825,78.902
194,39800,90.164,89.688,88.467,87.822,86.184,83.785,82.834,78.903
195,40000,90.158,89.698,88.472,87.821,86.188,83.799,82.833,78.884
196,40200,90.154,89.685,88.468,87.816,86.189,83.799,82.830,78.901
197,40400,90.145,89.687,88.464,87.817,86.188,83.796,82.826,78.899
198,40600,90.143,89.681,88.464,87.811,86.191,83.797,82.825,78.896
199,40800,90.138,89.678,88.458,87.815,86.189,83.798,82.825,78.890
200,41000,90.137,89.679,88.462,87.811,86.189,83.801,82.827,78.900
201,41200,90.135,89.676,88.460,87.809,86.191,83.801,82.824,78.900
202,41400,90.129,89.671,88.457,87.809,86.191,83.801,82.829,78.898
203,41600,90.124,89.668,88.454,87.806,86.182,83.803,82.823,78.885
204,41800,90.118,89.664,88.450,87.804,86.177,83.801,82.821,78.901
205,42000,90.116,89.662,88.451,87.802,86.174,83.802,82.823,78.896
206,42200,90.115,89.663,88.453,87.804,86.176,83.806,82.826,78.902
207,42400,90.118,89.664,88.452,87.804,86.183,83.808,82.827,78.903
208,42600,90.114,89.661,88.452,87.802,86.185,83.812,82.829,78.904
209,42800,90.112,89.657,88.448,87.799,86.186,83.810,82.826,78.903
210,43000,90.111,89.655,88.448,87.797,86.187,83.812,82.826,78.904
