#, session_id, temperature, start_freq, increment, num_increments, num_avg, v_range, pga_gain, gain_factor, unit
#nh4no3_t_10ppm,20.0,1000,200,450,4,1,1,1.0152170736012073e-08,mgL
freq, real, imaginary, concentration
89,18800,84.386,85.193,85.114,85.423,85.641,85.835,86.053,86.378,85.778,86.008
90,19000,84.379,85.195,85.103,85.420,85.645,85.834,86.047,86.374,85.789,86.008
91,19200,84.381,85.189,85.100,85.417,85.631,85.818,86.043,86.361,85.767,85.990
92,19400,84.389,85.165,85.095,85.400,85.608,85.808,86.025,86.355,85.752,85.987
93,19600,84.359,85.156,85.066,85.394,85.597,85.798,86.013,86.345,85.749,85.975
94,19800,84.355,85.150,85.061,85.377,85.590,85.791,86.004,86.333,85.743,85.964
95,20000,84.346,85.136,85.048,85.366,85.574,85.776,85.993,86.321,85.725,85.953
96,20200,84.340,85.125,85.035,85.353,85.573,85.767,85.987,86.312,85.719,85.942
97,20400,84.331,85.116,85.027,85.351,85.563,85.758,85.979,86.306,85.714,85.937
98,20600,84.336,85.111,85.023,85.340,85.559,85.755,85.976,86.303,85.708,85.935
99,20800,84.328,85.103,85.010,85.330,85.544,85.744,85.960,86.295,85.703,85.927
100,21000,84.319,85.093,84.998,85.318,85.529,85.727,85.950,86.281,85.689,85.923
101,21200,84.305,85.077,84.989,85.308,85.520,85.722,85.947,86.268,85.679,85.910
102,21400,84.305,85.072,84.982,85.304,85.519,85.716,85.943,86.270,85.668,85.900
103,21600,84.305,85.068,84.970,85.294,85.508,85.711,85.930,86.260,85.666,85.898
104,21800,84.302,85.055,84.964,85.285,85.504,85.703,85.925,86.252,85.659,85.886
105,22000,84.295,85.046,84.958,85.276,85.491,85.690,85.910,86.245,85.646,85.879
106,22200,84.289,85.034,84.952,85.254,85.480,85.677,85.906,86.230,85.647,85.865
107,22400,84.284,85.032,84.936,85.261,85.469,85.673,85.899,86.222,85.632,85.861
108,22600,84.277,85.026,84.935,85.252,85.469,85.668,85.892,86.223,85.625,85.857
109,22800,84.277,85.022,84.927,85.246,85.456,85.666,85.886,86.213,85.618,85.853
110,23000,84.277,85.018,84.921,85.245,85.458,85.659,85.879,86.212,85.619,85.845
111,23200,84.280,85.012,84.911,85.232,85.453,85.645,85.868,86.207,85.603,85.841
112,23400,84.265,85.003,84.903,85.222,85.443,85.640,85.864,86.196,85.604,85.830
113,23600,84.265,84.995,84.898,85.221,85.441,85.641,85.858,86.199,85.602,85.834
114,23800,84.263,84.993,84.895,85.218,85.433,85.634,85.855,86.192,85.598,85.831
115,24000,84.249,84.980,84.883,85.201,85.417,85.621,85.841,86.176,85.583,85.813
116,24200,84.250,84.972,84.876,85.198,85.410,85.614,85.833,86.170,85.579,85.807
117,24400,84.252,84.967,84.869,85.186,85.407,85.608,85.830,86.164,85.571,85.802
118,24600,84.246,84.966,84.864,85.188,85.403,85.609,85.827,86.167,85.574,85.797
119,24800,84.248,84.960,84.862,85.185,85.403,85.601,85.823,86.159,85.559,85.794
120,25000,84.244,84.953,84.857,85.176,85.390,85.592,85.813,86.149,85.554,85.786
121,25200,84.240,84.947,84.846,85.166,85.381,85.587,85.806,86.145,85.548,85.783
122,25400,84.240,84.956,84.839,85.162,85.386,85.587,85.801,86.142,85.556,85.780
123,25600,84.250,84.944,84.839,85.162,85.379,85.582,85.804,86.138,85.546,85.778
