#, session_id, temperature, start_freq, increment, num_increments, num_avg, v_range, pga_gain, gain_factor
#nh4no3_4,20.0,1000,200,450,4,1,1,1.0152170736012073e-08
freq, real, imaginary, concentration
353,71600,5338.385089517476,7851.479326180015,12597.408458633814
354,71800,5339.968263643159,7851.108380682315,12587.371666093066
355,72000,5339.299008675384,7851.58807832139,12574.308093517928
356,72200,5339.6383669454635,7850.389684686223,12576.56551374585
357,72400,5339.945585946888,7849.547010602224,12573.815920703153
358,72600,5338.791837370863,7847.693703822421,12564.687401992758
359,72800,5339.045969647984,7847.18244676499,12561.636992450716
360,73000,5340.292492128611,7846.743093084778,12556.031332463082
361,73200,5340.495142358527,7846.663073671853,12553.717047512007
362,73400,5340.052542458212,7846.457733250237,12548.613177268364
363,73600,5339.582907620312,7845.442321878449,12542.106224198727
364,73800,5339.497819476065,7845.276343245297,12536.671350056267
365,74000,5339.588846526112,7843.717529244516,12527.91727218975
366,74200,5339.046471596121,7843.977992462261,12528.42576118493
367,74400,5339.499623810872,7843.724467630335,12527.537009906437
368,74600,5338.276461426975,7842.16637947894,12532.651714998627
369,74800,5338.660789723123,7840.97485292795,12538.580117205132
370,75000,5338.206690819046,7840.715309752657,12534.58300363835
371,75200,5338.144221008408,7839.383221591983,12521.262973019935
372,75400,5338.874343057229,7837.7047494345015,12510.840480530762
373,75600,5338.129899276532,7838.9547583807025,12497.99589413439
374,75800,5338.398597934289,7838.095883743598,12492.18311281634
375,76000,5338.219390433911,7836.179827896084,12491.531666154802
376,76200,5338.421789059637,7833.981745672489,12486.317138034045
377,76400,5337.991210985696,7835.2646774307095,12494.678639195492
378,76600,5337.943115880954,7834.2161642528035,12495.970754238671
379,76800,5337.65570888764,7833.613225025533,12488.635093103
380,77000,5339.012049262128,7832.509510309679,12479.081275364837
381,77200,5337.6404663509975,7832.257021554046,12468.646896394905
382,77400,5338.089764550127,7831.693052294267,12461.207650587326
383,77600,5337.867566238283,7831.8514861370695,12458.468337106215
384,77800,5337.48712350967,7830.985465503571,12455.701750537091
385,78000,5337.037899109537,7828.979014841885,12452.517159512774
386,78200,5337.978834366949,7827.706953478739,12459.328912902636
387,78400,5336.6824000159695,7827.590886164601,12457.786779998525
388,78600,5337.159605898297,7827.8193677158015,12448.766595919647
389,78800,5337.252871759214,7825.584869669015,12441.951695642263
390,79000,5336.8590479361965,7826.835388442882,12443.364337992532
391,79200,5336.873132274079,7825.9803178874945,12433.019420882842
392,79400,5336.671301359773,7823.1997444175595,12428.270226301416
393,79600,5336.503686391399,7823.444399463731,12420.030491013777
394,79800,5335.379137781422,7822.954002093026,12426.520754630816
395,80000,5344.235016987421,7821.927858744921,12422.550096019599
396,80200,5336.668512999728,7821.213620183659,12416.37676691712
397,80400,5336.742022210962,7819.63490175339,12412.766279991225
398,80600,5335.975098979802,7819.431872995916,12411.754800406736
399,80800,5336.519827681158,7820.00492784151,12408.95579711699
400,81000,5336.550567805934,7819.217896817463,12405.307801684996
401,81200,5336.2607467377475,7817.98030863174,12404.620963804953
402,81400,5336.127058722019,7818.043816594428,12401.328048841364
403,81600,5335.451576199374,7814.570045673951,12397.916273423225
404,81800,5336.075373100949,7815.449499790818,12390.223768147105
405,82000,5336.161863777528,7815.399634390932,12384.177177200378
406,82200,5333.631609209055,7813.142398340423,12378.09623104392
407,82400,5335.768344024399,7813.076699375097,12372.873461198833
408,82600,5335.328640048374,7812.066205928649,12366.725711412697
409,82800,5334.54808774425,7811.522356588401,12367.556398198209
410,83000,5335.9492855918415,7810.855535859209,12363.505239568423
411,83200,5331.655561956165,7809.788609585604,12363.379706257094
412,83400,5353.276823623474,7810.385204537234,12359.073765940557
413,83600,5336.3870129525,7808.827093322765,12353.128015250579
414,83800,5335.332944665932,7807.667988314091,12346.432525457147
415,84000,5335.517990458737,7806.023895297688,12344.02941128792
416,84200,5334.9915269361345,7806.552499674314,12340.131856900734
417,84400,5335.807627886857,7804.854718488633,12333.006182121535
